close,date,high,interest_over_time_AU,interest_over_time_BR,interest_over_time_CA,interest_over_time_CN,interest_over_time_DE,interest_over_time_FR,interest_over_time_GB,interest_over_time_GH,interest_over_time_IN,interest_over_time_JP,interest_over_time_KE,interest_over_time_KR,interest_over_time_NG,interest_over_time_RU,interest_over_time_SG,interest_over_time_US,interest_over_time_VE,interest_over_time_ZA,low,num_retweets,num_tweets,open,tweet_exposure,volume_from,volume_to
868.39,2018-02-28 19:00:00,868.39,26.0,28.0,44.0,31.0,26.0,26.0,36.0,0.0,53.0,72.0,3.0,23.0,8.0,16.0,77.0,43.0,13.0,22.0,865.91,10800.0,7800.0,865.91,23603300.0,4533.42,3932949.16
871.01,2018-02-28 20:00:00,873.45,41.0,20.0,51.0,24.0,32.0,21.0,33.0,23.0,68.0,39.0,16.0,20.0,11.0,23.0,39.0,38.0,23.0,52.0,868.38,10800.0,7800.0,868.38,23603300.0,13911.68,12129196.05
866.5,2018-02-28 21:00:00,873.41,27.0,19.0,42.0,0.0,34.0,33.0,30.0,15.0,81.0,63.0,10.0,47.0,12.0,31.0,31.0,44.0,12.0,49.0,866.26,10800.0,7800.0,871.02,23603300.0,6758.4,5881932.11
858.39,2018-02-28 22:00:00,867.08,24.0,25.0,45.0,0.0,35.0,37.0,42.0,14.0,65.0,0.0,24.0,0.0,7.0,26.0,29.0,44.0,20.0,39.0,858.2,10800.0,7800.0,866.43,23603300.0,7691.89,6631102.96
851.5,2018-02-28 23:00:00,858.51,29.0,21.0,44.0,0.0,53.0,47.0,40.0,8.0,78.0,14.0,27.0,0.0,9.0,49.0,22.0,43.0,11.0,26.0,850.58,10800.0,7800.0,858.39,23603300.0,15693.67,13398250.73
856.98,2018-03-01 00:00:00,857.08,18.0,28.0,49.0,31.0,49.0,60.0,50.0,0.0,37.0,23.0,66.0,37.0,18.0,34.0,42.0,46.0,10.0,16.0,846.72,10800.0,7800.0,851.5,23603300.0,15014.41,12779097.19
857.26,2018-03-01 01:00:00,857.26,20.0,26.0,47.0,51.0,75.0,56.0,69.0,0.0,33.0,41.0,0.0,33.0,15.0,25.0,33.0,39.0,24.0,15.0,852.87,10800.0,7800.0,856.99,23603300.0,7693.57,6576922.88
854.62,2018-03-01 02:00:00,859.77,20.0,27.0,44.0,27.0,87.0,94.0,100.0,0.0,45.0,64.0,0.0,28.0,35.0,12.0,31.0,40.0,34.0,27.0,853.96,10800.0,7800.0,857.26,23603300.0,8022.41,6871414.13
857.01,2018-03-01 03:00:00,857.48,27.0,41.0,49.0,18.0,84.0,43.0,55.0,0.0,34.0,72.0,20.0,44.0,8.0,12.0,43.0,41.0,24.0,53.0,854.39,10800.0,7800.0,854.63,23603300.0,4408.93,3776928.47
859.48,2018-03-01 04:00:00,861.39,22.0,35.0,49.0,42.0,44.0,36.0,52.0,0.0,28.0,92.0,10.0,22.0,34.0,13.0,55.0,50.0,36.0,65.0,856.92,10800.0,7800.0,857.05,23603300.0,6442.57,5539855.84
859.09,2018-03-01 05:00:00,859.72,22.0,57.0,59.0,36.0,43.0,32.0,43.0,0.0,48.0,60.0,0.0,28.0,0.0,13.0,53.0,52.0,40.0,59.0,857.34,10800.0,7800.0,859.49,23603300.0,5787.39,4970006.39
859.5,2018-03-01 06:00:00,859.58,20.0,62.0,68.0,22.0,36.0,26.0,44.0,0.0,42.0,62.0,21.0,39.0,6.0,13.0,52.0,56.0,55.0,48.0,857.15,10800.0,7800.0,859.23,23603300.0,3352.9,2883156.17
863.62,2018-03-01 07:00:00,864.37,21.0,33.0,66.0,49.0,29.0,31.0,25.0,0.0,51.0,47.0,14.0,27.0,21.0,16.0,43.0,76.0,80.0,33.0,859.4,10800.0,7800.0,859.4,23603300.0,8320.74,7175340.2
869.32,2018-03-01 08:00:00,869.68,24.0,54.0,87.0,58.0,24.0,19.0,23.0,19.0,46.0,70.0,23.0,16.0,24.0,12.0,52.0,79.0,63.0,31.0,863.26,10800.0,7800.0,863.62,23603300.0,11387.38,9875406.37
867.11,2018-03-01 09:00:00,870.41,23.0,34.0,80.0,54.0,31.0,23.0,28.0,29.0,45.0,37.0,13.0,23.0,19.0,20.0,39.0,88.0,65.0,35.0,866.06,11600.0,9700.0,869.32,28568700.0,6282.62,5458789.39
872.04,2018-03-01 10:00:00,872.3,22.0,22.0,76.0,44.0,25.0,26.0,30.0,26.0,43.0,33.0,22.0,53.0,22.0,17.0,42.0,81.0,14.0,41.0,866.93,8500.0,8800.0,867.11,35197000.0,7936.67,6910780.82
868.73,2018-03-01 11:00:00,872.44,24.0,18.0,80.0,56.0,29.0,27.0,31.0,12.0,48.0,40.0,9.0,15.0,20.0,16.0,30.0,50.0,7.0,32.0,868.67,8500.0,8800.0,872.09,35197000.0,6027.33,5247263.7
864.55,2018-03-01 12:00:00,868.89,30.0,18.0,36.0,46.0,28.0,27.0,33.0,11.0,41.0,20.0,18.0,41.0,12.0,18.0,46.0,47.0,13.0,49.0,864.54,8500.0,8800.0,868.73,35197000.0,5356.47,4646147.22
868.85,2018-03-01 13:00:00,871.2,29.0,20.0,51.0,46.0,30.0,29.0,33.0,24.0,49.0,24.0,17.0,29.0,18.0,19.0,28.0,43.0,14.0,35.0,863.39,8500.0,8800.0,864.37,35197000.0,13286.79,11503301.84
866.86,2018-03-01 14:00:00,870.2,49.0,18.0,46.0,34.0,29.0,25.0,36.0,24.0,41.0,14.0,35.0,15.0,24.0,18.0,47.0,37.0,11.0,30.0,866.75,8500.0,8800.0,868.85,35197000.0,8234.2,7148235.38
864.14,2018-03-01 15:00:00,866.95,44.0,21.0,40.0,28.0,26.0,31.0,36.0,25.0,44.0,29.0,19.0,27.0,12.0,18.0,41.0,33.0,22.0,32.0,861.94,8500.0,8800.0,866.86,35197000.0,6265.15,5412657.71
866.67,2018-03-01 16:00:00,868.02,35.0,24.0,41.0,46.0,29.0,32.0,34.0,51.0,36.0,55.0,15.0,23.0,12.0,20.0,44.0,40.0,26.0,27.0,863.18,8500.0,8800.0,864.12,35197000.0,6511.09,5637276.65
875.0,2018-03-01 17:00:00,880.0,69.0,20.0,40.0,0.0,28.0,34.0,35.0,25.0,40.0,34.0,18.0,38.0,12.0,15.0,53.0,39.0,15.0,35.0,866.67,8500.0,8800.0,866.67,35197000.0,20767.38,18176429.34
878.92,2018-03-01 18:00:00,880.21,37.0,24.0,35.0,14.0,28.0,27.0,30.0,13.0,40.0,62.0,8.0,48.0,23.0,19.0,54.0,39.0,15.0,29.0,874.87,8500.0,8800.0,875.0,35197000.0,15707.04,13787625.61
874.27,2018-03-01 19:00:00,878.92,32.0,26.0,44.0,22.0,30.0,18.0,33.0,0.0,52.0,10.0,24.0,24.0,9.0,17.0,37.0,38.0,14.0,29.0,872.72,8500.0,8800.0,878.92,35197000.0,8870.67,7769342.67
877.93,2018-03-01 20:00:00,878.96,34.0,29.0,38.0,63.0,25.0,22.0,31.0,13.0,60.0,50.0,14.0,21.0,7.0,17.0,55.0,40.0,11.0,34.0,873.76,8500.0,8800.0,874.27,35197000.0,11585.82,10154050.45
870.75,2018-03-01 21:00:00,878.1,31.0,15.0,36.0,41.0,32.0,32.0,34.0,0.0,85.0,48.0,13.0,57.0,23.0,20.0,14.0,39.0,19.0,45.0,870.0,8500.0,8800.0,877.93,35197000.0,10158.33,8882222.1
871.43,2018-03-01 22:00:00,871.55,26.0,17.0,42.0,0.0,40.0,39.0,38.0,12.0,39.0,40.0,0.0,18.0,13.0,23.0,12.0,40.0,18.0,53.0,866.65,8500.0,8800.0,870.75,35197000.0,7445.01,6465390.67
869.87,2018-03-01 23:00:00,872.02,23.0,34.0,31.0,0.0,43.0,44.0,47.0,27.0,62.0,26.0,0.0,12.0,13.0,40.0,38.0,42.0,24.0,14.0,869.59,8500.0,8800.0,871.43,35197000.0,5033.74,4385370.41
869.33,2018-03-02 00:00:00,874.9,22.0,17.0,36.0,19.0,54.0,46.0,47.0,20.0,57.0,36.0,100.0,26.0,13.0,32.0,55.0,39.0,21.0,39.0,865.36,8500.0,8800.0,869.84,35197000.0,13164.53,11452828.1
874.21,2018-03-02 01:00:00,875.22,22.0,15.0,44.0,19.0,56.0,50.0,63.0,0.0,32.0,39.0,0.0,46.0,11.0,24.0,44.0,35.0,16.0,56.0,868.62,8500.0,8800.0,869.33,35197000.0,8586.88,7497584.58
873.18,2018-03-02 02:00:00,875.17,20.0,22.0,45.0,32.0,75.0,37.0,77.0,0.0,49.0,45.0,0.0,45.0,16.0,27.0,38.0,40.0,28.0,25.0,872.99,8500.0,8800.0,874.21,35197000.0,5706.19,4990164.14
872.78,2018-03-02 03:00:00,876.56,26.0,31.0,49.0,34.0,77.0,35.0,64.0,0.0,26.0,71.0,0.0,60.0,30.0,13.0,39.0,42.0,30.0,19.0,871.71,8500.0,8800.0,873.18,35197000.0,5413.55,4730195.88
870.74,2018-03-02 04:00:00,873.63,25.0,33.0,49.0,57.0,49.0,38.0,55.0,0.0,37.0,58.0,12.0,41.0,11.0,14.0,39.0,44.0,19.0,55.0,868.87,8500.0,8800.0,872.78,35197000.0,6049.42,5274321.28
869.87,2018-03-02 05:00:00,870.76,22.0,38.0,61.0,25.0,59.0,23.0,61.0,66.0,40.0,34.0,8.0,41.0,22.0,11.0,37.0,55.0,44.0,51.0,868.82,8500.0,8800.0,870.74,35197000.0,3639.03,3169179.7
872.48,2018-03-02 06:00:00,872.88,25.0,65.0,58.0,34.0,40.0,49.0,48.0,0.0,37.0,50.0,18.0,60.0,0.0,19.0,35.0,61.0,0.0,47.0,869.59,8500.0,8800.0,869.88,35197000.0,4889.83,4263138.69
869.9,2018-03-02 07:00:00,872.56,27.0,35.0,95.0,70.0,33.0,35.0,35.0,0.0,51.0,40.0,22.0,59.0,20.0,19.0,43.0,72.0,24.0,40.0,868.22,8500.0,8800.0,872.48,35197000.0,4030.52,3508352.81
871.11,2018-03-02 08:00:00,871.81,27.0,17.0,87.0,44.0,29.0,25.0,35.0,61.0,33.0,46.0,10.0,49.0,24.0,17.0,23.0,86.0,30.0,35.0,868.17,8500.0,8800.0,869.92,35197000.0,5168.9,4503703.33
